id,name,parentId,parentName,fullCompanyName,logoUrl,website,merchantCategoryCode,merchantCategoryDescription,registeredLocation,categoryId,analyticalCategory,transactionCategoryId,transactionCategory
0701b6e9-3922-5ca0-970c-b5ee4345e0d2,Bingo Diamond,,,Bingo Diamond,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/b737e9717503a959cf94eb79.svg,https://www.bingodiamond.com/welcome-offer,null,,,gambling,gambling,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
c2d24ec7-c5ee-5c1e-b2e9-d0fa2373cf7c,Black Horse Limited,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/c36ed69babb365d83a78668b.svg,https://www.blackhorse.co.uk/home,null,,"Black Horse Limited, St William House, Tresillian Terrace, Cardiff CF10 5BH.",loans,loans,std:901b1139-cbdf-4b89-9210-3fd551e45485,automotive
49c78285-27ed-53af-a890-30d1abb4c9ff,Blaze Competitions,,,Blaze Competitions,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/d78e3a5b8d733f0a387827c9.svg,https://www.blazecompetitions.co.uk/,null,,,gambling,gambling,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
1e4b5966-996e-5eb5-be86-1ffa0771a57b,Anico Financial Services,,,nico Financial Services Limited,,,null,,,loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
e23bff0c-dca1-583f-b603-1b94fcd079d3,Freetrade,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/518834c0a43554be4015da72.svg,,null,,,investment,investment,std:2bf1875a-2672-4eeb-9ae8-f2390cf0514c,transfers
530af490-3bde-5003-82d4-f23c5eea3c7b,Pimlico Finance,,,PIMLICO FINANCE LIMITED,,,null,,,loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
88895ba3-03a4-5f42-bbef-f2168e7fbbeb,GC Business Finance,,,The Enterprise Fund Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/03d8bab82de551a6497dbc47.svg,https://businessfinance.growthco.uk/,null,,"The Tootal Buildings  Broadhurst, 56 Oxford Street  Manchester, M1 6EU",loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
0f7f319b-fe48-5b55-b184-e44f4a64aa50,Gigaclear plc,,,Gigaclear Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/3d4d82692a85928d62de8359.svg,https://www.gigaclear.com/,null,,"Gigaclear Ltd, Building One, Wyndyke Furlong, Abingdon, Oxon, OX14 1UQ.",broadband-tv,broadband-tv,std:6a5368ae-3533-47b2-b627-cbe64c667639,cable
2641e4e7-2146-5c14-a9b2-923e91d6b644,RAC Breakdown,54585abd-e57d-5608-8c17-ebc5087ebde3,RAC,RAC Financial Services Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/7373e69c0c122758ffc0cc68.svg,https://www.rac.co.uk/,null,,"RAC House, Brockhurst Crescent, Walsall WS5 4AW",travel,travel,std:901b1139-cbdf-4b89-9210-3fd551e45485,automotive
fa8b5578-c66d-534d-89fb-ac88984ee061,SCOTCALL LIMITED,,,SCOTCALL LIMITED,,,null,,,loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
ae9ff044-f864-5e79-872c-977d13b46d4b,Canada life,,,Canada Life,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/5897ed6a7e120d52a7c8b75b.svg,https://www.canadalife.co.uk/,null,,Canada Life Limited Canada Life Place Potters Bar Hertfordshire EN6 5BA,savings,savings,std:2f3e2df7-827b-449d-a085-909c042d7f41,investment
c20f9370-27f7-5fb1-ab7b-f3f93f3faae3,Capital On Tap,,,,,https://www.capitalontap.com/,null,,,credit-card,credit-card,std:5cd20878-13de-4be2-8d38-492e6303ef87,credit
5c93bba9-c863-5de7-a380-c96230b24988,Dreamtech,,,DreamTech Competitions LTD,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/4647a5bc14c0bfd74d8a0c1c.svg,https://dreamtechcompetitions.co.uk/,null,,"DreamTech Competitions LTD. 26 Bramble, Durrington, BN13 3JB",gambling,gambling,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
e6b97879-53b2-5b03-a05d-b56b9474aac8,Bristol City Council,,,,,,null,,,council-tax,council-tax,std:1d74ab2b-0899-47a8-acd6-401e2abe8b67,taxes
927f1c09-7dc6-5d76-ad08-05a2dce3564f,carboncomps,,,CARBON COMPS LTD,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/7958d7878af830a5d563cec9.svg,,null,,,gambling,gambling,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
86cdebc1-ffb7-5c16-8010-9350d003b502,Card Factory,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/9022e9be0bf7126aca6375ef.svg,,null,,,gifts,gifts,std:4e7bd5f2-f0b5-4649-8a79-bdb4a4c30b2f,gifts
6a867e0d-375a-5cd4-be03-da9a55c5a357,Carphone warehouse,,,Carphonewarehouse,,https://www.carphonewarehouse.com/,null,,The Carphone Warehouse PO Box 689 SALFORD M5 OPD,mobile-phone,mobile-phone,std:4b0255f0-0309-4509-9e05-4b4e386f9b0d,telephone
35a944ff-3258-535b-a00d-4e96feabd706,Cash Float,,,Western Circle Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/b8e513bf3893df84d1fa5e8c.svg,https://www.cashfloat.co.uk,null,,"Office 8, 2a Highfield Ave, London NW11 9ET",loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
c547faf9-f9b8-5f77-9900-18029c7b8d49,Cash4unow,,,Novaloans Ltd,,https://www.cash4unow.co.uk/,null,,"7 Limewood Way, Leeds, LS14 1AB",loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
7a9cd9a1-174d-5b38-b930-dfbc7bcc6156,Casinoplanet,,,Genesis Global Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/5aa88ae252254e7449d31f94.svg,https://www.casinoplanet.com/en-gb,null,,"28, GB Buildings, Level 3, Watar Street, Ta’ Xbiex, XBX 1301, Malta.",gambling,gambling,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
4b1399f7-0c0e-513b-85fb-f968faa6bfb7,Castle Community Bank,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/2b1e52200c14ce3cdb9f09b0.svg,https://castlecommunitybank.co.uk/,null,,Castle Community Bank 49 Great Junction Street Edinburgh EH6 5HX,bank,bank,,
a9413c27-63f2-5f8c-bd43-294fd61a2e2b,Cdkeys,,,CDK LLC,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/11edfc2bc5d3a4ed0c81cec1.svg,https://www.cdkeys.com/,null,,"Agiou Andreou 339, Andrea Chambers Court, Floor 3, Office 307, 3035 Limassol, Cyprus",gaming,gaming,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
f1d532d6-bf56-5f44-bc84-fd1852ce4b7a,CeX,,,CeX Ltd.,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/15e1573981f04e46ceb61636.svg,https://uk.webuy.com/,null,,,retailer,retailer,std:cdc55410-176d-4c71-9bb2-6988b5d4913d,general
1870966f-b122-5710-9f91-87c4541f4fb1,CH&Co,,,CH&Co Catering Group Ltd,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/c954b987c6012bb79202bc90.svg,https://www.chandcogroup.com/,null,,"550, 2nd Floor Thames Valley Park, Reading, RG6 1PT",food-delivery,food-delivery,std:5fcad251-0300-4898-8b72-8cd0c3654797,service
6c82e356-7ec4-5bc7-b4c5-0ba2953fc5eb,Checkmyfile,,,Credit Reporting Agency Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/13b0070ca4aeadd2d2b3a1d5.svg,https://www.checkmyfile.com/,null,,"Trevithick House, Trevissome Park, Truro, TR4 8UN.",,,std:6446bcc2-c594-414a-b2eb-422d020c3aa5,online
7b578a5d-6937-50f6-8a11-b1b4df594001,Granite Finance,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/586e93a63b91bc2d036b1695.svg,https://www.granitefinance.co.uk/,null,,"Granite Finance The Lighthouse, 98 Liverpool Road, Formby, Merseyside, L37 6BS",loans,loans,,
f6ff4cc9-3411-5293-8cae-e9f24cd34c09,Christian Aid,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/6a67ae8f1e1be04eb1808ddd.svg,https://www.christianaid.org.uk/,null,,"Christian Aid, 35-41 Lower Marsh, London SE1 7RL",charity,charity,std:7daf3d79-98dd-4c85-b3cc-6d7ffd83fce9,charitable
42736508-5159-519a-9476-98a091734eea,Clarks,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/c13a5c29afd877ca88b99d7a.svg,,null,,,clothing,clothing,std:65ebdcdb-c46b-478f-bbbc-feabeb0b4342,clothing
7b179934-e6b3-5090-b4cd-91f2767d52f4,Click Competitions,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/596ffb034ffc04740278a9c9.svg,,null,,,gambling,gambling,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
4de19607-bac8-56eb-96ab-17d549ef7dce,Clinton cards,,,Clintons Retail,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/f21197557784c2467c08e037.svg,https://clintonsretail.com/,null,,"Sycamore House, Medlicott Close, Corby, NN18 9NF",gifts,gifts,std:4e7bd5f2-f0b5-4649-8a79-bdb4a4c30b2f,gifts
dcfcb971-43e3-5d28-b04b-5e4086b42d64,Boohoo,,,boohoo.com UK Ltd,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/358d3061d6367c239d33bd63.svg,https://www.boohoo.com/,null,,"Boohoo.com UK Ltd, of 49-51 Dale Street, Manchester M1 2HF",clothing,clothing,std:65ebdcdb-c46b-478f-bbbc-feabeb0b4342,clothing
96008077-43a8-5995-ba7a-9ab06ade1a57,Co-op Car Insurance,,,Affinity Insurance Solutions Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/23bb7bfe552cb3e9b8ca009f.svg,https://www.coop.co.uk/insurance/car-insurance,null,,"45 Westerham Road, Bessels Green, Sevenoaks, TN13 2QB",insurance,insurance,std:afa6c9ab-020e-48a9-9e22-e01cb9c0ad44,insurance
1c7426af-de44-54a4-8bb7-345f7b7c3a97,Cohens chemist,,,Gorgemead Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/73feaffb2807c8932fce8318.svg,https://www.cohenschemist.co.uk/,null,,"Lynstock House, Lynstock Way, Bolton BL6 4SA.",healthcare,healthcare,std:c506e41e-a11b-4a38-a7f7-44c5e39cce5c,healthcare
13912d29-b2ac-59b9-9455-2550e475c850,CoinJar,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/acc3a3e6e9e1f9a25341fce7.svg,,null,,,crypto,crypto,std:83e99ba8-867b-4aeb-9d2f-12c8d799ccb0,savings
0eaf9a6a-3f87-542c-8997-1f48cad36b7a,Close Brothers Motor Finance,,,Close Brothers Limited,,https://www.closemotorfinance.co.uk/,null,,"10 Crown Place, London EC2A 4FT",loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
d7115cdf-e535-5d07-adc2-bf5688784a0a,BOUNTY COMPETITIONS LTD,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/1f28dad36dbf3bddb38d64f2.svg,,null,,,gambling,gambling,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
